,Age
1947,Sam Coombes 2019-2021 · MF
1948,Tyler Coombes 2020-2021
1949,"Laura Coombs 2017-2022 · MF · Liverpool, Manchester City"
1950,"Ryan Cooney 2016-2023 · DF · Morecambe, Bury"
1951,"Charlie Cooper 2016-2023 · DF,FW · Oldham Athletic, Forest Green Rovers, Woking, Wealdstone FC, FC Halifax Town, Newport County, Boreha"
1952,Chay Cooper 2021-2023 · MF · Colchester United
1953,"Colin Cooper 1994-2006 · DF · Middlesbrough, Nottingham Forest, Sunderland"
1954,"Deanna Cooper 2017-2022 · DF · Reading, Chelsea"
1955,George Cooper 2021-2023 · DF · Mansfield Town
1956,"George Cooper 2014-2023 · MF · Chesterfield, Crewe Alexandra, Plymouth Argyle, Peterborough United"
1957,"Jake Cooper 2014-2023 · DF,FW · Millwall, Reading, Reading U23"
1958,Joe Cooper 2012-2013 · DF
1959,"Kevin Cooper 2001-2008 · MF · Wolverhampton Wanderers, Cardiff City, Wimbledon, Norwich City, Walsall, Chesterfield, Tranmere Rove"
1960,Mark Cooper 2006-2007 · MF
1961,Michael Cooper 2017-2023 · GK · Plymouth Argyle
1962,Paul Cooper 2019-2021 · GK
1963,Richard Cooper 2002-2004 · MF · York City
1964,"Shaun Cooper 2001-2017 · DF · Bournemouth, Portsmouth, Kidderminster Harriers, Leyton Orient, Crawley Town"
1965,Simon Cooper 2019-2020 · DF
1966,Terry Cooper 1970 · DF · England
1967,Pauline Cope 1995-2001 · GK · England
1968,Jordan Copp 2017-2018 · MF
1969,Steve Coppell 1982 · MF · England
1970,Bobby Copping 2019-2020 · DF
1971,"James Coppinger 2000-2021 · FW,MF · Doncaster Rovers, Exeter City, Nottingham Forest"
1972,"Andrew Corbett 2006-2013 · DF · Burton Albion, Hereford United"
1973,"Jimmy Corbett 2002-2005 · MF · Southend United, Darlington"
1974,Kai Corbett 2020-2022 · MF · West Ham United U23
1975,Luke Corbett 2003-2004 · FW
1976,Antonio Corbisiero 2003-2004 · MF · Swansea City
1977,Michael Corcoran 2015-2019 · DF
1978,Sam Corcoran 2008-2016 · MF
1979,"Tyler Cordner 2018-2023 · DF,MF · Aldershot Town, Weymouth, Havant & Water, Ebbsfleet United, Southend United, Scunthorpe United"
1980,"Deri Corfe 2020-2023 · FW · FC Tucson, Arbroath, New York Red Bulls II"
1981,Alan Cork 1992-1994 · FW · Sheffield United
1982,"Jack Cork 2006-2023 · DF,MF · Burnley, Southampton, Swansea City, Scunthorpe United, Coventry City, Watford, Bournemouth"
1983,Ashley Corker 2011-2012 · DF · Northampton Town
1984,Sam Corne 2015-2023 · MF · Maidstone United
1985,Chris Cornelly 2002-2003 · MF · Lincoln City
1986,Chris Cornes 2005-2006 · FW · Port Vale
1987,"Dominic Corness 2020-2023 · MF · Liverpool FC U21, Liverpool U23"
1988,"Isiah Cornet 2019-2023 · MF · Middlesbrough FC U21, Middlesbrough U23"
1989,Max Cornhill 2014-2022 · MF
1990,"Harry Cornick 2013-2023 · FW,MF · Luton Town, Yeovil Town, Leyton Orient, Gillingham, Welling United"
1991,Sam Cornish 2020-2022 · FW
1992,Joe Corrigan 1982 · GK
1993,Louis Corrigan 2014-2015 · DF
1994,Ryan Corrigan 2018-2021 · DF · Stoke City U23
1995,"Aaron Cosgrove 2018-2023 · DF · AFC Wimbledon, Southend United, Dover Athletic, Havant & Water"
1996,"Sam Cosgrove 2014-2023 · FW · Birmingham City, Aberdeen, Shrewsbury Town, AFC Wimbledon, North Ferriby United, Carlisle United, Ba"
1997,"Tony Coton 1992-1997 · GK · Manchester City, Sunderland"
1998,"Tony Cottee 1992-2001 · FW · Leicester City, Everton, West Ham United"
1999,Leo Cotterell 1994-1995 · DF
2000,Nathan Cotterell 2017-2018 · FW
2001,James Cotterill 2002-2003 · DF · Scunthorpe United
2002,Steve Cotterill 1992-1993 · FW · Wimbledon
2003,Daniel Cotton 2006-2007 · MF
2004,Nico Cotton 2017-2018
2005,Ben Cottrell 2018-2022 · MF · Arsenal U23
2006,Jake Cottrell 2017-2020 · MF · Chorley FC
2007,"Andy Coughlin 2011-2017 · GK · Wrexham, Southport"
2008,Charlie Coulson 2011-2012 · MF
2009,"Hayden Coulson 2017-2023 · DF,MF · Aberdeen, Middlesbrough, Middlesbrough U23, Cambridge United, Peterborough United, Ipswich Town, St"
2010,"Josh Coulson 2007-2022 · DF,MF · Cambridge United, Leyton Orient, King's Lynn Town FC, Southend United"
2011,"Luke Coulson 2015-2022 · DF,FW · Bromley, Ebbsfleet United, Eastleigh, Barnet"
2012,"Michael Coulson 2006-2017 · FW,MF · York City, Grimsby Town, Barnsley, St Johnstone, Northwich Victoria"
2013,"Gillian Coultard 1995 · DF,MF · England"
2014,Callum Coulter 2019-2022 · GK
2015,"Shaq Coulthirst 2013-2021 · FW · Barnet, Peterborough United, Southend United, Mansfield Town, Boreham Wood, York City, Torquay Unite"
2016,Tom Coulton 2010-2017 · GK
2017,"Duane Courtney 2005-2015 · DF · Tamworth, Kidderminster Harriers, Alfreton Town, York City, Burnley"
2018,"Jordan Cousins 2013-2022 · FW,MF · Charlton Athletic, Queens Park Rangers, Stoke City, Wigan Athletic"
2019,"Mark Cousins 2007-2022 · GK · Dagenham & Redbridge, Bromley, Colchester United, Barnet"
2020,"James Coutts 2004-2009 · MF · Weymouth, Bournemouth"
2021,Sonny Coutts 2017-2018 · DF
2022,Andy Couzens 1994-1997 · MF · Leeds United
2023,Alex Cover 2016-2018 · DF · Derby County U23
2024,Tristan Cover 2018-2019 · DF
2025,Vaughn Covil 2019-2023 · FW · Hull City
2026,Dan Cowan 2015-2020 · DF · Stockport County
2027,"David Cowan 2002-2014 · DF · Dundee, Cowdenbeath, Motherwell, Gretna"
2028,"Paris Cowan-Hall 2009-2021 · FW,MF · Wycombe Wanderers, Plymouth Argyle, Colchester United, Millwall, Bristol Rovers, Rushden & Diamonds,"
2029,"Gordon Cowans 1990-1994 · MF · Blackburn Rovers, Aston Villa"
2030,Henry Cowans 2016-2018 · MF · Stevenage
2031,Chris Coward 2007-2008 · FW
2032,Jack Cowgill 2014-2017 · DF · Braintree Town
2033,Sam Cowler 2012-2017 · GK
2034,"Jason Cowley 2019-2020 · FW · Stevenage, Solihull Moors"
2035,George Cowmeadow 2021-2023 · FW · Swindon Town
2036,"Niall Cowperthwaite 2010-2016 · DF,MF · Barrow, Morecambe"
2037,Danielle Cox 2021-2022 · DF · ASD Calcio Pomigliano
2038,"Dean Cox 2006-2021 · MF · Leyton Orient, Brighton & Hove Albion, Crawley Town"
2039,"George Cox 2017-2023 · DF · Fortuna Sittard, Brighton & Hove Albion U23, Northampton Town"
2040,Jordan Cox 2014-2015 · FW
2041,Jordan Cox 2017-2019 · MF · Aston Villa U23
2042,Kristian Cox 2010-2011 · FW
2043,"Lee Cox 2009-2017 · MF · Inverness CT, Plymouth Argyle, Oxford United, Stevenage, Swindon Town"
2044,Matthew Cox 2020-2023 · GK · Brentford
2045,"Neil Cox 1992-2008 · DF · Watford, Middlesbrough, Crewe Alexandra, Aston Villa, Cardiff City, Bolton Wanderers"
2046,Patrick Cox 2015-2016 · FW
2047,Tony Coxall 2016-2018 · GK
2048,Callum Coyle 2016-2019 · MF
2049,Jamie Coyle 2014-2017 · DF · Maidstone United
2050,"Lewie Coyle 2015-2023 · DF,MF · Hull City, Fleetwood Town, Leeds United"
2051,"Liam Coyle 2017-2023 · MF · Accrington Stanley, Liverpool U23"
2052,"Trae Coyle 2017-2022 · MF · Lausanne-Sport, Arsenal U23, Gillingham"
2053,Aaron Crabtree 2017-2018 · DF
2054,Billy Cracknell 2019-2022 · DF
2055,Joe Cracknell 2015-2022 · GK · Harrogate
2056,"Darren Craddock 2003-2008 · DF · York City, Hartlepool United"
2057,"Jody Craddock 1999-2012 · DF,MF · Wolverhampton Wanderers, Sunderland, Stoke City"
2058,Josh Craddock 2008-2009 · FW
2059,"Tom Craddock 2005-2017 · FW · Oxford United, Luton Town, Guiseley, Portsmouth, Middlesbrough, Hartlepool United"
2060,Kade Craig 2021-2023 · MF · Shrewsbury Town
2061,"Paco Craig 2016-2022 · DF · Miami FC, Louisville City"
2062,"Tony Craig 2002-2023 · DF · Crawley Town, Millwall, Brentford, Bristol Rovers, Wycombe Wanderers, Crystal Palace, Leyton Orient"
2063,"James Craigen 2012-2023 · DF,MF · Arbroath, Partick Thistle, Dunfermline Athletic, Falkirk, Raith Rovers, Fylde"
2064,Gemma Craine 2020-2022 · FW · Perth Glory
2065,Danny Crane 2005-2006 · GK · Rushden & Diamonds
2066,"Tony Crane 2001-2006 · DF · Grimsby Town, Sheffield Wednesday"
2067,"Ian Craney 2006-2013 · MF · Accrington Stanley, Huddersfield Town, Swansea City, Fleetwood Town, Morecambe, Telford United, Roch"
2068,"Martin Cranie 2004-2021 · DF · Barnsley, Coventry City, Huddersfield Town, Luton Town, Charlton Athletic, Sheffield United, Southam"
2069,"Oliver Crankshaw 2019-2023 · MF · Stockport County, Bradford City, Wigan Athletic, Dundee"
2070,Billy Craske 2018-2019 · FW
2071,Finley Craske 2020-2023 · DF · Yeovil Town
2072,Dean Craven 2006-2007 · MF
2073,Sam Craven 2011 · DF · FC New York
2074,"Tom Crawford 2017-2023 · MF · Hartlepool United, Notts County, Fylde"
2075,"Mark Creighton 2006-2014 · DF · Kidderminster Harriers, Wrexham, Oxford United"
2076,"William Crellin 2017-2022 · GK · Bolton Wanderers, Chorley FC, Fleetwood Town"
2077,"Aaron Cresswell 2008-2023 · DF,MF · West Ham United, Ipswich Town, Tranmere Rovers, England"
2078,Cameron Cresswell 2016-2021 · FW · Derby County U23
2079,"Charlie Cresswell 2020-2023 · DF · Millwall, Leeds Utd U23, Leeds United"
2080,"Richard Cresswell 1998-2014 · FW · Preston North End, Sheffield United, Stoke City, Leeds United, Sheffield Wednesday, York City, Leice"
2081,"Ryan Cresswell 2006-2018 · DF · Northampton Town, Bury, Southend United, Rotherham United, Eastleigh, Fleetwood Town, Macclesfield T"
2082,Gianni Crichlow 2016-2017 · MF
2083,"Romoney Crichlow-Noble 2019-2023 · DF · Bradford City, Swindon Town, Huddersfield Town, Plymouth Argyle, Hartlepool United"
2084,"Paul Crichton 2001-2007 · GK · Cambridge United, Norwich City"
2085,Benji Crilley 2016-2017 · DF
2086,"Nick Crittenden 1997-2008 · MF · Weymouth, Yeovil Town"
2087,"Ryan Croasdale 2013-2023 · DF,MF · Stockport County, Fylde"
2088,"Gary Croft 1996-2008 · DF · Cardiff City, Grimsby Town, Blackburn Rovers, Lincoln City, Ipswich Town"
2089,"Lee Croft 2004-2017 · MF · Norwich City, Oldham Athletic, St Johnstone, Derby County, Manchester City, Huddersfield Town"
2090,"Luke Croll 2015-2022 · DF,MF · Dagenham & Redbridge, Exeter City, Chesterfield, Plymouth Argyle"
2091,"Lance Cronin 2004-2013 · GK · Ebbsfleet United, Macclesfield Town, Gillingham"
2092,Billy Crook 2018-2019 · MF · Braintree Town
2093,Ian Crook 1992-1995 · MF · Norwich City
2094,Peter Crook 2017-2020 · GK · Boston United
2095,"Adam Crookes 2018-2023 · DF · York City, Port Vale, Grimsby Town"
2096,"Lee Crooks 2000-2008 · DF,MF · Barnsley, Bradford City, Rochdale, Notts County"
2097,"Leon Crooks 2004-2010 · DF · Ebbsfleet United, Milton Keynes Dons, Wycombe Wanderers"
2098,"Matt Crooks 2014-2023 · DF,MF · Middlesbrough, Rotherham United, Northampton Town, Accrington Stanley, Scunthorpe United, Hartlepool"
2099,Ryan Crooks 2019-2020 · FW
2100,"Dene Cropper 2002-2004 · FW · Lincoln City, Boston United"
2101,"Jordan Cropper 2019-2023 · DF · Grimsby Town, Chesterfield, Burnley FC U23"
2102,Lee Cropper 2014-2015 · FW
2103,"Andy Crosby 2002-2009 · DF · Scunthorpe United, Oxford United"
2104,Liam Cross 2020-2023 · DF · Northampton Town
2105,Kyle Crossley 2020-2023 · FW · Newcastle United FC U21
2106,"Peter Crouch 2001-2019 · FW · Stoke City, Liverpool, Tottenham Hotspur, Portsmouth, Aston Villa, Southampton, England, Norwich Cit"
2107,Steve Croudson 2001-2011 · GK · Grimsby Town
2108,Thomas Croughan 2020-2021 · FW
2109,"Danny Crow 2004-2015 · FW · Peterborough United, Cambridge United, Luton Town, Newport County, Notts County, Northampton Town, N"
2110,"Dean Crowe 2002-2006 · FW · Luton Town, Stockport County, York City, Oldham Athletic"
2111,Dylan Crowe 2022-2023 · MF · Torquay United
2112,"Jason Crowe 2001-2012 · DF · Northampton Town, Grimsby Town, Portsmouth, Leeds United, Leyton Orient"
2113,Jaden Crowhurst 2022-2023 · MF · Southend United
2114,"Daniel Crowley 2015-2023 · MF · Willem II, Birmingham City, Hull City, Go Ahead Eagles, Cheltenham Town, Cambuur, Barnsley, Oxford U"
2115,Oliver Crowley 2015-2016 · DF
2116,"Ryan Crowther 2005-2016 · MF · Altrincham, Fleetwood Town, Hyde, FC Halifax Town"
2117,Mia Cruickshank 2019-2021 · DF
2118,"Thomas Cruise 2009-2015 · DF · Torquay United, Carlisle United"
2119,"Nick Culkin 1999-2004 · GK · Queens Park Rangers, Livingston"
2120,Alex Cull 2016-2019 · GK
2121,Hermoine Cull 2021-2022 · GK
2122,Jon Cullen 2002-2003 · MF · Darlington
2123,"Mark Cullen 2009-2022 · FW · Blackpool, Luton Town, Port Vale, Hull City, Hartlepool United, Stockport County, Bury, Carlisle Uni"
2124,Duncan Culley 2014-2015 · FW
2125,Jordan Cullinane-Liburd 2017-2018 · DF
2126,"Danny Cullip 2002-2009 · DF · Brighton & Hove Albion, Lewes, Nottingham Forest, Queens Park Rangers, Gillingham"
2127,Ian Culverhouse 1992-1994 · DF · Norwich City
2128,Max Culverwell 2018-2019 · GK
2129,Kurtis Cumberbatch 2015-2020 · FW · Dover Athletic
2130,"Luis Cumbers 2006-2014 · FW · Gillingham, Welling United, Ebbsfleet United, AFC Wimbledon, Grays Athletic"
2131,"Jamie Cumming 2016-2023 · GK · Milton Keynes Dons, Stevenage, Chelsea U23, Gillingham"
2132,Jo Cummings 2018-2020 · DF
2133,"Adam Cummins 2011-2015 · DF · Motherwell, Dundee"
2134,"Nial Cummins 2016-2021 · FW · Marine FC, Curzon Ashton FC"
2135,Greg Cundle 2016-2022 · FW · Gillingham
2136,"Luke Cundle 2018-2023 · MF · Wolverhampton Wanderers, Wolverhampton Wanderers FC U21, Wolverhampton Wanderers U23"
2137,Jason Cundy 1992-1996 · DF · Tottenham Hotspur
2138,"Robbie Cundy 2015-2023 · DF · Barnsley, Torquay United, Cambridge United, Gillingham, Bristol City, Southport"
2139,"John Cunliffe 2007-2009 · FW · Carolina RailHawks, Chivas USA, San Jose Earthquakes"
2140,Karl Cunningham 2017-2021 · MF
2141,Lewis Cunningham 2021-2022 · DF
2142,Michael Cunningham 2021 · FW
2143,"Adam Cunnington 2010-2019 · FW · Tamworth, Bromley, Cambridge United, Kettering Town, Bristol Rovers, Alfreton Town, Dagenham & Redbr"
2144,Ted Curd 2021-2022 · GK
2145,"Jamie Cureton 1993-2017 · FW · Dagenham & Redbridge, Exeter City, Norwich City, Colchester United, Queens Park Rangers, Cheltenham"
2146,"Keith Curle 1992-2003 · DF · Manchester City, Sheffield United, Mansfield Town, Barnsley"
2147,Tom Curle 2003-2006 · MF
2148,Matt Curley 2021-2022 · DF
2149,Alex Curran 2019-2020 · FW
2150,"Craig Curran 2006-2020 · FW · Ross County, Tranmere Rovers, Carlisle United, Dundee United, Dundee, Nuneaton Town, Morecambe, Roch"
2151,Jock Curran 2018-2019 · MF
2152,Taylor Curran 2018-2021 · DF · Swindon Town
2153,"Darren Currie 2002-2011 · MF · Ipswich Town, Wycombe Wanderers, Dagenham & Redbridge, Chesterfield, Luton Town"
2154,Jack Currie 2020-2023 · DF · AFC Wimbledon
2155,Adam Curry 2018-2019 · DF
2156,"Mitchell Curry 2017-2022 · FW · Hartford Athletic, Fort Lauderdale CF, Middlesbrough U23, Sunderland U23, Inverness CT"
2157,Jack Curtis 2014-2016 · FW
2158,James Curtis 2014-2017 · DF · Gateshead
2159,"John Curtis 1997-2011 · DF · Nottingham Forest, Portsmouth, Northampton Town, Gold Coast United, Blackburn Rovers, Wrexham, Manch"
2160,"Tom Curtis 2001-2007 · MF · Mansfield Town, Chester City, Portsmouth, Tranmere Rovers, Walsall"
2161,"Wayne Curtis 2006-2011 · FW · Morecambe, Fleetwood Town, Barrow"
2162,Madeleine Cusack 2017-2018 · MF
2163,Nick Cusack 2002-2003 · MF · Swansea City
2164,"Neil Cutler 1999-2007 · GK · Rotherham United, Stoke City, Stockport County, Swansea City"
2165,"Alexander Cvetkovic 2021-2022 · FW · Šibenik, Hrvatski Dragovoljac"
2166,John Cyrus 2016-2017 · DF
2167,Szymon Czubik 2018-2019 · MF
2168,"Lawson D'Ath 2011-2023 · MF · Yeovil Town, Northampton Town, Dagenham & Redbridge, Luton Town, Milton Keynes Dons, Exeter City"
2169,"Luciano D'Auria-Henry 2020-2023 · DF · Fulham FC U21, Fulham, Fulham U23"
2170,Jonathan D'Laryea 2005-2016 · MF · Mansfield Town
2171,"Nathan D'Laryea 2006-2008 · DF,MF · Rochdale"
2172,Khale Da Costa 2020-2022 · MF · Dover Athletic
2173,Rui Da Costa 2017-2018 · MF
2174,Vani Da Silva 2020-2022 · FW · Oldham Athletic
2175,Diaguely Dabo 2019-2020 · Stevenage
2176,"Fankaty Dabo 2016-2023 · DF,MF · Coventry City, Vitesse, Sparta Rotterdam, Swindon Town, Chelsea U23"
2177,"Bradley Dack 2012-2023 · MF · Blackburn Rovers, Gillingham, Blackburn Rovers U23, Braintree Town"
2178,"Chris Dagnall 2003-2021 · FW · Rochdale, Crewe Alexandra, Leyton Orient, Scunthorpe United, Barnsley, Yeovil Town, Tranmere Rovers,"
2179,Zach Dainkeh 2019-2020 · MF
2180,"Sam Dalby 2016-2023 · FW · Wrexham, Southend United, Leyton Orient, Woking, Stockport County"
2181,Ben Dale 2021-2022 · DF
2182,Bobbie Dale 2013-2015 · FW · Cheltenham Town
2183,Charlie Dale 2018-2019 · MF
2184,James Dale 2017-2018 · MF · Brechin City
2185,Nathan Dale 2017-2020 · DF · Middlesbrough U23
2186,"Owen Dale 2016-2023 · FW · Portsmouth, Crewe Alexandra, Blackpool"
2187,Robert Dale 2014-2015 · MF · Blyth Spartans AFC
2188,"Andy Dales 2018-2021 · MF · Scunthorpe United, Dundee, Altrincham"
2189,"Vontae Daley Campbell 2017-2023 · DF · Cardiff City, Leicester City U23, Dundee, Leicester City"
2190,"Luke Daley 2008-2018 · MF · Braintree Town, Dartford, Plymouth Argyle, Norwich City, Lincoln City"
2191,Tony Daley 1990-1994 · MF · Aston Villa
2192,Deshane Dalling 2018-2021 · MF
2193,"Tom Dallison 2014-2023 · DF · Colchester United, Crawley Town, Falkirk, Dartford, Brighton & Hove Albion U23, Cambridge United, Ac"
2194,George Daly 2007-2010 · FW · Hayes & Yeading United
2195,"James Daly 2017-2023 · FW · Woking, Bristol Rovers, Stevenage"
2196,"Liam Daly 2016-2021 · DF,MF · Solihull Moors, Barnet"
2197,"Matty Daly 2018-2023 · MF · Harrogate Town FC, Hartlepool United, Huddersfield Town, Bradford City"
2198,"Rachel Daly 2016-2023 · DF,FW · Houston Dash, England, West Ham United, Great Britain"
2199,Wes Daly 2002-2015 · MF · Queens Park Rangers
2200,"John Danby 2003-2014 · GK · Chester City, Kidderminster Harriers, Chester"
2201,"Colin Daniel 2007-2023 · DF,MF · Scunthorpe United, Macclesfield Town, Blackpool, Mansfield Town, Burton Albion, Port Vale, Peterboro"
2202,Joe Daniel Tupper 2016-2021 · GK
2203,Kyle Daniel-Spray 2021-2022 · DF · Reading U23
2204,Kacper Danielewicz 2021-2022 · GK
2205,"Billy Daniels 2012-2015 · FW · Coventry City, Notts County"
2206,"Brendon Daniels 2012-2019 · FW · Crewe Alexandra, Chester"
2207,"Charlie Daniels 2006-2022 · DF,MF · Bournemouth, Leyton Orient, Colchester United, Portsmouth, Shrewsbury Town, Gillingham"
2208,Greg Daniels 2015-2016 · FW
2209,Jake Daniels 2021-2022 · MF
2210,"Luke Daniels 2007-2023 · GK · Middlesbrough, Scunthorpe United, Shrewsbury Town, Tranmere Rovers, Brentford, Southend United, Bris"
2211,Gabriel Danko 2017-2018 · DF
2212,"Scott Dann 2004-2022 · DF · Crystal Palace, Blackburn Rovers, Walsall, Birmingham City, Coventry City, Reading"
2213,Brett Darby 2002-2003 · MF · Southend United
2214,"Duane Darby 2002-2006 · FW · Rushden & Diamonds, Shrewsbury Town"
2215,"Julian Darby 1993-1995 · DF,MF · Coventry City"
2216,"Stephen Darby 2008-2018 · DF · Bradford City, Rochdale, Notts County, Swindon Town, Bolton Wanderers, Liverpool"
2217,"Ronan Darcy 2018-2023 · MF · Swindon Town, Bolton Wanderers"
2218,"Lewis Dark 2006-2018 · DF,MF · Brentford"
2219,"Cameron Darkwah 2010-2013 · FW,MF · Stockport County"
2220,"Harry Darling 2016-2023 · DF · Swansea City, Milton Keynes Dons, Cambridge United"
2221,"Karl Darlow 2010-2023 · GK · Newcastle United, Nottingham Forest, Walsall, Newport County"
2222,Jordan Darr 2017-2018 · FW
2223,Jamie Darvill 2011-2012 · FW · Ebbsfleet United
2224,"Liam Darville 2010-2011 · DF · York City, Tranmere Rovers"
2225,"Jay Dasilva 2016-2023 · DF,MF · Bristol City, Charlton Athletic, Chelsea U23, England"
2226,"Josh Dasilva 2016-2023 · MF · Brentford, Arsenal U23, Arsenal"
2227,"Calum Davenport 2000-2009 · DF · Coventry City, West Ham United, Tottenham Hotspur, Norwich City, Sunderland, Southampton"
2228,"Jacob Davenport 2016-2022 · MF · Blackburn Rovers, Manchester City U23, Blackburn Rovers U23, Burton Albion"
2229,Teddy Davey 2021-2022 · MF · Southampton U23
2230,Kieran David Boucher 2017-2018 · GK
2231,Jayden Davidson 2022-2023 · FW · Derby County FC U21
2232,Ross Davidson 2007-2009 · MF · Port Vale
2233,Ryan Davidson 2019-2020 · DF
2234,Jahvan Davidson-Miller 2016-2017 · FW
2235,Adam Davie 2016-2017 · FW
2236,Tom Davie 2017-2018 · DF
2237,"Andrew Davies 2002-2019 · DF · Bradford City, Ross County, Middlesbrough, Southampton, Derby County, Hartlepool United, Queens Park"
2238,"Archie Davies 2017-2023 · DF · Aldershot Town, Crawley Town, Brighton & Hove Albion U23"
2239,"Ben Davies 2004-2020 · DF,MF · Shrewsbury Town, Chester City, Derby County, Notts County, Grimsby Town, Portsmouth, Sheffield Unite"
2240,"Ben Davies 2012-2023 · DF · Rangers, Preston North End, York City, Fleetwood Town, Sheffield United, Newport County, Southport,"
2241,"Callum Davies 2010-2016 · DF · Gillingham, Dover Athletic"
2242,Callum Davies 2017-2018 · FW
2243,Calum Davies 2019-2020 · FW
2244,Calvin Davies 2016-2017 · DF
2245,"Curtis Davies 2003-2023 · DF · Derby County, Hull City, Birmingham City, West Bromwich Albion, Luton Town, Aston Villa, Leicester C"
2246,"Gareth Davies 2002-2008 · DF,MF · Chesterfield, Halifax Town"
2247,"Harvey Davies 2020-2023 · GK · Liverpool FC U21, Liverpool"
2248,Henry Davies 2021-2022 · MF
2249,Jack Davies 2020-2022 · DF
2250,Jay Davies 2012-2013 · MF
2251,"Kevin Davies 1997-2015 · FW · Bolton Wanderers, Southampton, Preston North End, Blackburn Rovers, Millwall"
2252,"Leon Davies 2015-2022 · DF,MF · Cambridge United, Southend United"
2253,Liam Davies 2014-2018 · FW
2254,"Mark Davies 2005-2017 · MF · Bolton Wanderers, Wolverhampton Wanderers, Leicester City"
2255,Phil Davies 2014-2015 · DF
2256,Rhys Davies 2018-2020 · GK
2257,Richard Davies 2014-2015 · DF
2258,"Richard Davies 2008-2013 · MF · Telford United, Walsall"
2259,"Scott Davies 2006-2021 · GK · Tranmere Rovers, Fleetwood Town, Morecambe, Accrington Stanley"
2260,Sean Davies 2003-2004 · York City
2261,"Steve Davies 2005-2020 · FW · Derby County, Rochdale, Tranmere Rovers, Blackpool, Bristol City, Bradford City, Hamilton Academical"
2262,"Tom Davies 2015-2023 · MF · Everton, Everton U23"
2263,"Tom Davies 2014-2022 · DF,FW · Coventry City, Tranmere Rovers, Accrington Stanley, Bristol Rovers, Southport, Portsmouth, Barrow"
2264,William Davies 2021-2022 · MF
2265,"David Davis 2009-2023 · MF · Forest Green Rovers, Birmingham City, Shrewsbury Town, Wolverhampton Wanderers, Inverness CT, Cheste"
2266,"Harry Davis 2009-2022 · DF · Crewe Alexandra, Grimsby Town, Morecambe, St Mirren, Scunthorpe United"
2267,"Jayden Davis 2021-2023 · MF · Crawley Town, King's Lynn Town FC"
2268,"Jimmy Davis 2002-2003 · FW,MF · Swindon Town"
2269,"Joe Davis 2010-2020 · DF · Port Vale, Fleetwood Town, Luton Town"
2270,"Keinan Davis 2015-2023 · FW · Watford, Aston Villa, Nottingham Forest, Aston Villa U23"
2271,"Kelvin Davis 2001-2016 · GK · Southampton, Wimbledon, Ipswich Town, Sunderland"
2272,"Kenny Davis 2014-2022 · DF,MF · Sutton United, Braintree Town"
2273,Kerry Davis 1995 · FW · England
2274,"Leif Davis 2018-2023 · DF · Ipswich Town, Bournemouth, Leeds United, Leeds Utd U23"
2275,Liam Davis 2015-2016 · MF
2276,"Liam Davis 2006-2020 · DF,MF · Northampton Town, Oxford United, Torquay United, Yeovil Town, GAIS, Cheltenham Town, Coventry City,"
2277,Neil Davis 1995-1996 · FW
2278,Paul Davis 1991-1995 · MF · Arsenal
2279,"Sean Davis 2001-2012 · MF · Portsmouth, Fulham, Tottenham Hotspur, Bristol City, Bolton Wanderers"
2280,"Sol Davis 2002-2012 · DF · Luton Town, Kettering Town, Milton Keynes Dons, Swindon Town"
2281,"Steve Davis 2001-2004 · DF · Burnley, Blackpool"
2282,Bobby Davison 1993-1994 · FW · Sheffield United
2283,"Gemma Davison 2016-2022 · FW,MF · Tottenham Hotspur LFC, Chelsea, Reading, England, Aston Villa LFC"
2284,"Josh Davison 2019-2023 · FW · AFC Wimbledon, Charlton Athletic, Swindon Town, Forest Green Rovers, Woking"
2285,Hannah Dawbarn 2018-2019 · MF
2286,Andrew Dawber 2012-2017 · GK · Accrington Stanley
2287,Charlie Dawes 2014-2015 · FW
2288,Will Dawes 2017-2022 · MF
2289,"Nick Daws 2001-2004 · MF · Rotherham United, Grimsby Town"
2290,"Aaron Dawson 2011-2015 · DF,MF · Exeter City, Torquay United"
2291,Adam Dawson 2014-2015 · DF
2292,"Adam Dawson 2012-2017 · MF · Tranmere Rovers, Nuneaton Town, Bristol Rovers, Eastleigh, Barrow, Kidderminster Harriers, Notts Cou"
2293,Andy Dawson 2015-2016 · DF · Salford City FC
2294,"Andy Dawson 2002-2015 · DF · Hull City, Scunthorpe United"
2295,"Cameron Dawson 2014-2023 · GK · Sheffield Wednesday, Exeter City, Alfreton Town"
2296,"Craig Dawson 2009-2022 · DF · West Bromwich Albion, Rochdale, West Ham United, Watford, Bolton Wanderers"
2297,Joey Dawson 2019-2022 · MF
2298,"Kevin Dawson 2001-2005 · DF · Chesterfield, Nottingham Forest"
2299,"Lucas Dawson 2013-2018 · MF · Chester, Nuneaton Town"
2300,"Michael Dawson 2001-2021 · DF · Tottenham Hotspur, Hull City, Nottingham Forest"
2301,Tom Dawson 2018-2019 · MF
2302,"Chris Day 1999-2018 · GK · Stevenage Borough, Queens Park Rangers, Oldham Athletic, Watford, Millwall"
2303,"Jamie Day 2007-2015 · MF · Welling United, Grays Athletic"
2304,"Joe Day 2009-2023 · GK · Newport County, Rushden & Diamonds, Bristol Rovers, Alfreton Town, AFC Wimbledon, Peterborough Unite"
2305,Mervyn Day 1992-1993 · GK
2306,Tom Day 2015-2022 · DF
